game time: 1577, player: [0, 701], player speed: [0, 0]
game time: 1591, player: [0, 701], player speed: [0, 0]
game time: 1608, player: [0, 701], player speed: [0, 0]
game time: 1625, player: [0, 701], player speed: [0, 0]
game time: 1641, player: [0, 701], player speed: [0, 0]
game time: 1658, player: [0, 701], player speed: [0, 0]
game time: 1675, player: [0, 701], player speed: [0, 0]
game time: 1691, player: [0, 701], player speed: [0, 0]
game time: 1708, player: [0, 701], player speed: [0, 0]
game time: 1724, player: [0, 701], player speed: [0, 0]
game time: 1741, player: [0, 701], player speed: [0, 0]
game time: 1759, player: [0, 701], player speed: [0, 0]
game time: 1782, player: [0, 701], player speed: [0, 0]
game time: 1799, player: [0, 701], player speed: [0, 0]
game time: 1814, player: [0, 701], player speed: [0, 0]
game time: 1830, player: [0, 701], player speed: [0, 0]
game time: 1847, player: [0, 701], player speed: [0, 0]
game time: 1863, player: [0, 701], player speed: [0, 0]
game time: 1880, player: [0, 701], player speed: [0, 0]
game time: 1895, player: [0, 701], player speed: [0, 0]
game time: 1913, player: [0, 701], player speed: [0, 0]
game time: 1929, player: [0, 701], player speed: [0, 0]
game time: 1947, player: [0, 701], player speed: [0, 0]
game time: 1963, player: [0, 701], player speed: [0, 0]
game time: 1979, player: [0, 701], player speed: [0, 0]
game time: 1994, player: [0, 701], player speed: [0, 0]
game time: 2010, player: [0, 701], player speed: [0, 0]
game time: 2027, player: [0, 701], player speed: [0, 0]
game time: 2045, player: [0, 701], player speed: [0, 0]
game time: 2061, player: [0, 701], player speed: [0, 0]
game time: 2077, player: [0, 701], player speed: [0, 0]
game time: 2093, player: [0, 701], player speed: [0, 0]
game time: 2110, player: [0, 701], player speed: [0, 0]
game time: 2127, player: [0, 701], player speed: [0, 0]
game time: 2144, player: [0, 701], player speed: [0, 0]
game time: 2162, player: [0, 701], player speed: [0, 0]
game time: 2178, player: [0, 701], player speed: [0, 0]
game time: 2197, player: [0, 701], player speed: [0, 0]
game time: 2213, player: [0, 701], player speed: [0, 0]
game time: 2229, player: [0, 701], player speed: [0, 0]
game time: 2246, player: [0, 701], player speed: [0, 0]
game time: 2263, player: [0, 701], player speed: [0, 0]
game time: 2282, player: [0, 701], player speed: [0, 0]
game time: 2297, player: [0, 701], player speed: [0, 0]
game time: 2313, player: [0, 701], player speed: [0, 0]
game time: 2329, player: [0, 701], player speed: [0, 0]
game time: 2346, player: [0, 701], player speed: [0, 0]
game time: 2364, player: [0, 701], player speed: [0, 0]
game time: 2379, player: [0, 701], player speed: [0, 0]
game time: 2396, player: [0, 701], player speed: [0, 0]
game time: 2414, player: [0, 701], player speed: [0, 0]
game time: 2432, player: [0, 701], player speed: [0, 0]
game time: 2450, player: [0, 701], player speed: [0, 0]
game time: 2466, player: [0, 701], player speed: [0, 0]
game time: 2482, player: [0, 701], player speed: [0, 0]
game time: 2498, player: [0, 701], player speed: [0, 0]
game time: 2515, player: [0, 701], player speed: [0, 0]
game time: 2531, player: [0, 701], player speed: [0, 0]
game time: 2548, player: [0, 701], player speed: [0, 0]
game time: 2566, player: [0, 701], player speed: [0, 0]
game time: 2582, player: [0, 701], player speed: [0, 0]
game time: 2599, player: [0, 701], player speed: [0, 0]
game time: 2616, player: [0, 701], player speed: [0, 0]
game time: 2634, player: [0, 701], player speed: [0, 0]
game time: 2649, player: [0, 701], player speed: [0, 0]
game time: 2665, player: [0, 701], player speed: [0, 0]
game time: 2683, player: [0, 701], player speed: [0, 0]
game time: 2706, player: [0, 691.5], player speed: [0, 0]
game time: 2717, player: [0, -99], player speed: [0, 0]
game time: 2733, player: [0, -108.5], player speed: [0, -9.5]
game time: 2749, player: [0, -117.5], player speed: [0, -9]
game time: 2765, player: [0, -126], player speed: [0, -8.5]
game time: 2782, player: [0, -134], player speed: [0, -8]
game time: 2799, player: [0, -141.5], player speed: [0, -7.5]
game time: 2816, player: [0, -148.5], player speed: [0, -7]
game time: 2833, player: [0, -155], player speed: [0, -6.5]
game time: 2850, player: [0, -161], player speed: [0, -6]
game time: 2866, player: [0, -166.5], player speed: [0, -5.5]
game time: 2883, player: [0, -171.5], player speed: [0, -5]
game time: 2899, player: [0, -176], player speed: [0, -4.5]
game time: 2915, player: [0, -180], player speed: [0, -4]
game time: 2933, player: [0, -183.5], player speed: [0, -3.5]
game time: 2949, player: [0, -186.5], player speed: [0, -3]
game time: 2966, player: [0, -189], player speed: [0, -2.5]
game time: 2983, player: [0, -191], player speed: [0, -2]
game time: 3000, player: [0, -192.5], player speed: [0, -1.5]
game time: 3016, player: [0, -193.5], player speed: [0, -1]
game time: 3033, player: [0, -194], player speed: [0, -0.5]
game time: 3050, player: [0, -194], player speed: [0, 0]
game time: 3066, player: [0, -193.5], player speed: [0, 0.5]
game time: 3084, player: [0, -192.5], player speed: [0, 1]
game time: 3101, player: [0, -191], player speed: [0, 1.5]
game time: 3118, player: [0, -189], player speed: [0, 2]
game time: 3136, player: [0, -186.5], player speed: [0, 2.5]
game time: 3152, player: [0, -183.5], player speed: [0, 3]
game time: 3169, player: [0, -180], player speed: [0, 3.5]
game time: 3185, player: [0, -176], player speed: [0, 4]
game time: 3203, player: [0, -171.5], player speed: [0, 4.5]
game time: 3222, player: [0, -166.5], player speed: [0, 5]
game time: 3236, player: [0, -161], player speed: [0, 5.5]
game time: 3252, player: [0, -155], player speed: [0, 6]
game time: 3269, player: [0, -148.5], player speed: [0, 6.5]
game time: 3284, player: [0, -141.5], player speed: [0, 7]
game time: 3301, player: [0, -134], player speed: [0, 7.5]
game time: 3318, player: [0, -126], player speed: [0, 8]
game time: 3335, player: [0, -117.5], player speed: [0, 8.5]
game time: 3352, player: [0, -108.5], player speed: [0, 9]
game time: 3371, player: [0, -102], player speed: [0, 0]
game time: 3388, player: [0, -101.5], player speed: [0, 0.5]
game time: 3404, player: [0, -102], player speed: [0, 0]
game time: 3421, player: [0, -101.5], player speed: [0, 0.5]
game time: 3439, player: [0, -102], player speed: [0, 0]
game time: 3455, player: [0, -101.5], player speed: [0, 0.5]
game time: 3473, player: [0, -102], player speed: [0, 0]
game time: 3487, player: [0, -101.5], player speed: [0, 0.5]
game time: 3504, player: [0, -102], player speed: [0, 0]
game time: 3518, player: [0, -101.5], player speed: [0, 0.5]
game time: 3536, player: [0, -102], player speed: [0, 0]
game time: 3552, player: [0, -101.5], player speed: [0, 0.5]
game time: 3567, player: [0, -102], player speed: [0, 0]
game time: 3585, player: [0, -101.5], player speed: [0, 0.5]
game time: 3602, player: [0, -102], player speed: [0, 0]
game time: 3620, player: [0, -101.5], player speed: [0, 0.5]
game time: 3636, player: [0, -102], player speed: [0, 0]
game time: 3652, player: [0, -101.5], player speed: [0, 0.5]
game time: 3670, player: [0, -102], player speed: [0, 0]
game time: 3685, player: [0, -101.5], player speed: [0, 0.5]
game time: 3703, player: [0, -102], player speed: [0, 0]
game time: 3719, player: [0, -101.5], player speed: [0, 0.5]
game time: 3736, player: [0, -102], player speed: [0, 0]
game time: 3752, player: [0, -101.5], player speed: [0, 0.5]
game time: 3769, player: [0, -102], player speed: [0, 0]
game time: 3785, player: [0, -101.5], player speed: [0, 0.5]
game time: 3804, player: [0, -102], player speed: [0, 0]
game time: 3819, player: [0, -101.5], player speed: [0, 0.5]
game time: 3835, player: [0, -102], player speed: [0, 0]
game time: 3852, player: [0, -101.5], player speed: [0, 0.5]
game time: 3867, player: [0, -102], player speed: [0, 0]
game time: 3885, player: [0, -101.5], player speed: [0, 0.5]
game time: 3903, player: [0, -102], player speed: [0, 0]
game time: 3918, player: [0, -101.5], player speed: [0, 0.5]
game time: 3934, player: [0, -102], player speed: [0, 0]
game time: 3952, player: [0, -101.5], player speed: [0, 0.5]
game time: 3967, player: [0, -102], player speed: [0, 0]
game time: 3985, player: [0, -101.5], player speed: [0, 0.5]
game time: 4000, player: [0, -102], player speed: [0, 0]
game time: 4016, player: [0, -101.5], player speed: [0, 0.5]
game time: 4033, player: [0, -102], player speed: [0, 0]
game time: 4050, player: [0, -101.5], player speed: [0, 0.5]
game time: 4066, player: [0, -102], player speed: [0, 0]
game time: 4083, player: [0, -101.5], player speed: [0, 0.5]
game time: 4098, player: [0, -102], player speed: [0, 0]
game time: 4115, player: [0, -101.5], player speed: [0, 0.5]
game time: 4131, player: [0, -102], player speed: [0, 0]
game time: 4149, player: [0, -101.5], player speed: [0, 0.5]
game time: 4165, player: [0, -102], player speed: [0, 0]
game time: 4182, player: [0, -101.5], player speed: [0, 0.5]
game time: 4199, player: [0, -102], player speed: [0, 0]
game time: 4215, player: [0, -101.5], player speed: [0, 0.5]
game time: 4233, player: [0, -102], player speed: [0, 0]
game time: 4248, player: [0, -101.5], player speed: [0, 0.5]
game time: 4265, player: [0, -102], player speed: [0, 0]
game time: 4281, player: [0, -101.5], player speed: [0, 0.5]
game time: 4297, player: [0, -102], player speed: [0, 0]
game time: 4315, player: [0, -101.5], player speed: [0, 0.5]
